word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange,detail,audio
redeem,ri'di:m,v. restore the honor or worth of\nv. to turn in (vouchers or coupons) and receive something in exchange\nv. pay off (loans or promissory notes)\nv. convert into cash; of commercial papers,"vt. 赎回, 挽回, 恢复, 偿还, 补偿\n[经] 履行(契约), 买回, 赎回",,1,,toefl ielts gre,8505,9250,d:redeemed/p:redeemed/i:redeeming/3:redeems,,
redevelop,",ri:di'velәp","v. develop for a second time, in order to improve the contrast, colour, etc., of a negative or print\nv. formulate or develop again, of an improved theory or hypothesis\nv. change the plans for the use of (land)","v. 恢复(促进)经济发展, 重点恢复",,,,,19298,22547,d:redeveloped/p:redeveloped/i:redeveloping/3:redevelops,,
redeveloped,ˌri:diˈveləpt,"v develop for a second time, in order to improve the contrast, colour, etc., of a negative or print\nv formulate or develop again, of an improved theory or hypothesis\nv change the plans for the use of (land)","v. 重建, 重新开发( redevelop的过去式和过去分词 )",,,,,0,0,0:redevelop/1:dp/p:redeveloped,,
redeveloping,ˌri:diˈveləpɪŋ,"v develop for a second time, in order to improve the contrast, colour, etc., of a negative or print\nv formulate or develop again, of an improved theory or hypothesis\nv change the plans for the use of (land)","v. 重建, 重新开发( redevelop的现在分词 )",,,,,0,0,0:redevelope/1:i,,
redevelops,ˌri:diˈveləps,"v develop for a second time, in order to improve the contrast, colour, etc., of a negative or print\nv formulate or develop again, of an improved theory or hypothesis\nv change the plans for the use of (land)","v. 重建, 重新开发( redevelop的第三人称单数 )",,,,,0,0,1:3/0:redevelop,,
redia,ri'diә,"n. A kind of larva, or nurse, which is prroduced within the\n   sporocyst of certain trematodes by asexual generation. It in turn\n   produces, in the same way, either another generation of rediae, or else\n   cercariae within its own body. Called also proscolex, and nurse. See\n   Illustration in Appendix.","n. [动]雷迪幼虫,雷蚴",,,,,0,0,,,
redouble,ri'dʌbl,"v. double in magnitude, extent, or intensity\nv. double again\nv. make twice as great or intense","vi.vt. (使)加倍, (使)增强, 倍增, 加强, (使)大量增加\nvt. 重复, 再做, 再说\nvi. 重折, 重迭\n[计] 重复, 再作, 加强",,,,,21148,20043,p:redoubled/d:redoubled/i:redoubling/3:redoubles,,
redowa,"'redәwә, -vә","n. A Bohemian dance of two kinds, one in triple time, like a\n   waltz, the other in two-four time, like a polka. The former is most in\n   use.","n. 雷多瓦舞（一种19世纪流行的快三步波希米亚舞）, 雷多瓦舞曲",,,,,0,0,,,
redress,ri'dres,n. act of correcting an error or a fault or an evil,"n. 赔偿, 补救, 矫正\nvt. 纠正, 赔偿, 救济",,1,,toefl gre,11593,16594,i:redressing/d:redressed/3:redresses/p:redressed,,
reduce,ri'dju:s,v. cut down on; make a reduction in\nv. make less complex\nv. bring to humbler or weaker state or condition\nv. simplify the form of a mathematical equation of expression by substituting one term for another,"vt. 减少, 分解, 降低, 使衰退, 把...分解, 把...归纳\nvi. 减少, 减肥, 缩小\n[计] 缩小",,4,1,gk cet4 cet6 ky toefl,567,701,d:reduced/i:reducing/3:reduces/p:reduced,,
redundance,,n the attribute of being superfluous and unneeded,"n. 过多, 冗长, 累赘, 多余, 冗余位, 冗余度, 冗余码, 多余信息\n[计] =, 冗余, 冗余码, 冗余位, 冗余项",,,,,0,0,s:redundances,,
redundances,,plural of redundance\nn the attribute of being superfluous and unneeded,"(redundance 的复数) n. 过多, 冗长, 累赘, 多余, 冗余位, 冗余度, 冗余码, 多余信息\n[计] =, 冗余, 冗余码, 冗余位, 冗余项",,,,,0,0,0:redundance/1:s,,
redundancy,ri'dʌndәnsi,n. repetition of messages to reduce the probability of errors in transmission\nn. the attribute of being superfluous and unneeded\nn. (electronics) a system design that duplicates components to provide alternatives in case one component fails\nn. repetition of an act needlessly,"n. 过多, 冗长, 累赘, 多余, 冗余位, 冗余度, 冗余码, 多余信息\n[计] 冗余",,2,,ky gre,3877,16763,s:redundancies,,
reed,ri:d,n. tall woody perennial grasses with hollow slender stems especially of the genera Arundo and Phragmites\nn. United States journalist who reported on the October Revolution from Petrograd in 1917; founded the Communist Labor Party in America in 1919; is buried in the Kremlin in Moscow (1887-1920)\nn. United States physician who proved that yellow fever is transmitted by mosquitoes (1851-1902)\nn. a vibrator consisting of a thin strip of stiff material that vibrates to produce a tone when air streams over it,"n. 芦苇, 芦笛, 簧舌, 纤弱的人\nvt. 用芦苇盖, 用小凸嵌线装饰",,1,,cet4 cet6 ky toefl gre,7220,8359,s:reeds/i:reeding,,
reek,ri:k,"v. smell badly and offensively\nv. be wet with sweat or blood, as of one's face\nv. give off smoke, fumes, warm vapour, steam, etc.","n. 烟, 水蒸气, 臭气散发\nvi. 冒烟, 发臭气, 散发\nvt. 用烟熏, 散发",,1,,toefl gre,19334,14513,p:reeked/3:reeks/i:reeking/s:reeks/d:reeked,,
reel,ri:l,n. a roll of photographic film holding a series of frames to be projected by a movie projector\nn. music composed for dancing a reel\nn. winder consisting of a revolving spool with a handle; attached to a fishing rod\nn. a lively dance of Scottish Highlanders; marked by circular moves and gliding steps,"n. 卷轴, 一卷, 纺车, 旋转, 蹒跚\nvt. 卷...于轴上, 绕, 使旋转\nvi. 蹒跚地走, 旋转, 眩晕, 摇晃, 退缩\n[计] 卷; 盘",,3,,cet4 cet6 ky toefl ielts gre,9829,7527,i:reeling/p:reeled/s:reels/3:reels/d:reeled,,
ref,ref,n (sports) the chief official (as in boxing or American football) who is expected to ensure fair play,"n. 裁判员\n[计] 参考, 外部文件报告",,1,,,2074,15784,s:refs,,
refer,ri'fә:,"v. be relevant to\nv. think of, regard, or classify under a subsuming principle or with a general group or in relation to another\nv. send or direct for treatment, information, or a decision\nv. use a name to designate","vt. 提交, 归诸于, 把...提交, 使求助于\nvi. 提到, 涉及, 查阅, 查询, 咨询",,4,,gk cet4 cet6 ky toefl,728,1156,d:referred/3:refers/i:referring/p:referred,,
refer to,,,"查阅, 提到, 谈到, 打听",,,1,,0,0,,,
referred,,"v make reference to\nv be relevant to\nv think of, regard, or classify under a subsuming principle or with a general group or in relation to another\nv send or direct for treatment, information, or a decision\nv seek information from\nv have as a meaning\nv use a name to designate","v. 归类, 谈及, 送交；参考, 查阅（refer的过去式）",,,,,36779,33641,0:refer/1:dp/d:referred/p:referred,,
refine,ri'fain,"v. treat or prepare so as to put in a usable condition\nv. reduce to a fine, unmixed, or pure state; separate from extraneous matter or cleanse from impurities\nv. attenuate or reduce in vigor, strength, or validity by polishing or purifying\nv. make more precise or increase the discriminatory powers of","vt. 精炼, 净化, 使优雅, 使精炼\nvi. 被精炼, 被净化",,1,,cet4 cet6 ky toefl ielts,7830,6600,i:refining/d:refined/p:refined/3:refines,,
reflect,ri'flekt,v. manifest or bring back\nv. to throw or bend back (from a surface)\nv. be bright by reflecting or casting light\nv. show an image of,"vt. 反射, 反映, 招致, 深思\nvi. 被反射, 映出, 深思, 考虑, 指责",,4,1,gk cet4 cet6 ky gre,885,1004,3:reflects/d:reflected/i:reflecting/p:reflected,,
reflection,ri'flekʃәn,n. the phenomenon of a propagating wave (light or sound) being thrown back from a surface\nn. the image of something as reflected by a mirror (or other reflective material)\nn. (mathematics) a transformation in which the direction of one axis is reversed\nn. the ability to reflect beams or rays,"n. 反映, 沉思, 映像, 想法, 责难\n[计] 反射",,2,,cet4 cet6 ky toefl,3018,2757,s:reflections,,
reflex,'ri:fleks,n. an automatic instinctive unlearned reaction to a stimulus,"n. 反射, 反射光, 映像\na. 反射的, 折转的\nvt. 使折转, 使折回",,1,,,10072,10253,s:reflexes,,
reflexive,ri'fleksiv,s. referring back to itself,"a. 反射的, 折回的, 折转的, 内省的, 反省的, 反身的\nn. 反身代词, 反身动词",,,,,27420,20278,,,
reform,ri'fɒ:m,n. a change for the better as a result of correcting abuses\nn. a campaign aimed to correct abuses or malpractices\nn. self-improvement in behavior or morals by abandoning some vice\nv. make changes for improvement in order to remove abuse and injustices,"n. 改革, 改正, 改造\nvt. 改革, 改过, 革新, 重整\nvi. 革新, 改过",,4,1,gk cet4 cet6 ky toefl ielts,1211,1112,s:reforms/d:reformed/i:reforming/p:reformed/3:reforms,,
reforming,ri'fɔ:miŋ,"v make changes for improvement in order to remove abuse and injustices\nv bring, lead, or force to abandon a wrong or evil course of life, conduct, and adopt a right one\nv produce by cracking\nv break up the molecules of\nv improve by alteration or correction of errors or defects and put into a better condition\nv change for the better","[计] 变换, 重整, 改进\n[化] 重整",,,,,15268,18147,0:reform/1:i/i:reforming/s:reformings,,
reformings,,"plural of reforming\nv make changes for improvement in order to remove abuse and injustices\nv bring, lead, or force to abandon a wrong or evil course of life, conduct, and adopt a right one\nv produce by cracking\nv break up the molecules of\nv improve by alteration or correction of errors or defects and put into a better condition\nv change for the better","(reforming 的复数) [计] 变换, 重整, 改进\n[化] 重整",,,,,0,0,0:reforming/1:s,,
reforms,riˈfɔ:mz,"n a change for the better as a result of correcting abuses\nn a campaign aimed to correct abuses or malpractices\nn self-improvement in behavior or morals by abandoning some vice\nv make changes for improvement in order to remove abuse and injustices\nv bring, lead, or force to abandon a wrong or evil course of life, conduct, and adopt a right one\nv produce by cracking\nv break up the molecules of\nv improve by alteration or correction of errors or defects and put into a better condition\nv change for the better","n. 改革, 改良, 改造( reform的名词复数 )\nv. 改善( reform的第三人称单数 )",,,,,0,0,0:reform/1:s3,,
refrain,ri'frein,n. the part of a song where a soloist is joined by a group of singers\nv. resist doing something,"n. 重复的话, 叠句, 副歌\nvi. 节制, 避免, 克制",,1,,cet6 ky ielts gre,8458,9029,p:refrained/i:refraining/d:refrained/3:refrains/s:refrains,,
refresh,ri'freʃ,v. make (to feel) fresh\nv. make fresh again,"vt. 使清新, 使恢复, 使生气蓬勃\nvi. 提起精神, 恢复精神, 吃点心, 喝饮料\nvt. 刷新, 重新整理\nvi. 刷新, 重新整理\n[计] 刷新, 重新整理",,1,,gk cet4 cet6 ky toefl gre,11300,12356,p:refreshed/d:refreshed/i:refreshing/3:refreshes/s:refreshes,,
refresher,'ri'freʃә,n. a fee (in addition to that marked on the brief) paid to counsel in a case that lasts more than one day\nn. a drink that refreshes,"n. 使清新的事物, 使恢复记忆的事物, 饮料, 酒, 复习, 最新动态介绍, 补习材料\n[医] 复习课程",,,,,21436,23055,s:refreshers,,
refreshers,,plural of refresher\nn. a fee (in addition to that marked on the brief) paid to counsel in a case that lasts more than one day\nn. a drink that refreshes,"(refresher 的复数) n. 使清新的事物, 使恢复记忆的事物, 饮料, 酒, 复习, 最新动态介绍, 补习材料\n[医] 复习课程",,,,,0,0,0:refresher/1:s,,
refrigeratory,ri'fridʒәreitәri,"a. Mitigating heat; cooling.\nn. That which refrigerates or cools.\nn. In distillation, a vessel filled with cold water,\n   surrounding the worm, the vapor in which is thereby condensed.\nn. The chamber, or tank, in which ice is formed, in an\n   ice machine.","n. 制冰室, 冷凝装置\na. 致冷的, 消热的",,,,,0,0,,,
refuelled,ri:ˈfju:əld,"v provide with additional fuel, as of aircraft, ships, and cars\nv take on more fuel, as of a plane, ship, or car","v. （给）加油, （给）加燃料( refuel的过去式和过去分词 )",,,,,0,0,0:refuel/1:pd,,
refuelling,ri:f'ju:əlɪŋ,"v provide with additional fuel, as of aircraft, ships, and cars\nv take on more fuel, as of a plane, ship, or car","v. （给）加油, （给）加燃料( refuel的现在分词 ); 换料",,,,,34612,0,0:refuel/1:i/i:refuelling,,
refuels,ri:ˈfju:əlz,"v provide with additional fuel, as of aircraft, ships, and cars\nv take on more fuel, as of a plane, ship, or car","v. （给）加油, （给）加燃料( refuel的第三人称单数 )",,,,,0,0,0:refuel/1:3,,
refusal,ri'fju:zl,n. the act of refusing\nn. a message refusing to accept something that is offered,"n. 拒绝, 推却, 优先决定权\n[法] 拒绝, 谢绝, 取舍权",,2,1,gk cet4 cet6 ky ielts,3562,5933,s:refusals,,
regard,ri'gɑ:d,n. (usually plural) a polite expression of desire for someone's welfare\nn. a feeling of friendship and esteem\nv. look at attentively,"n. 关心, 注意, 尊敬, 关系, 问候\nvt. 视为, 注意, 考虑, 和...有关, 看待\nvi. 注视, 注意",,4,1,zk gk cet4 cet6 ky toefl,945,2084,d:regarded/3:regards/p:regarded/i:regarding,,
regarding,ri'gɑ:diŋ,v deem to be\nv look at attentively\nv connect closely and often incriminatingly,prep. 关于,,2,1,cet4 cet6 ky ielts,3515,2153,0:regard/1:i,,
regenerate,ri'dʒenәreit,"v. reestablish on a new, usually improved, basis or make new or like new\nv. amplify (an electron current) by causing part of the power in the output circuit to act upon the input circuit\nv. return to life; get or give new life or energy\nv. replace (tissue or a body part) through the formation of new tissue","vt. 使再生, 重建, 革新\nvi. 新生, 再生\na. 新生的, 再生的\n[计] 再生; 重写",,1,,cet6 ky toefl,15197,14883,i:regenerating/d:regenerated/3:regenerates/p:regenerated/s:regenerates,,
regenerated,rɪˈdʒenəˌreɪtid,"v reestablish on a new, usually improved, basis or make new or like new\nv amplify (an electron current) by causing part of the power in the output circuit to act upon the input circuit\nv bring, lead, or force to abandon a wrong or evil course of life, conduct, and adopt a right one\nv return to life; get or give new life or energy\nv replace (tissue or a body part) through the formation of new tissue\nv be formed or shaped anew\nv form or produce anew\nv undergo regeneration\nv restore strength","v. 新生, 再生( regenerate的过去式和过去分词 )",,,,,48520,0,0:regenerate/1:dp/p:regenerated/d:regenerated,,
regenerates,rɪˈdʒenəˌreɪts,"v reestablish on a new, usually improved, basis or make new or like new\nv amplify (an electron current) by causing part of the power in the output circuit to act upon the input circuit\nv bring, lead, or force to abandon a wrong or evil course of life, conduct, and adopt a right one\nv return to life; get or give new life or energy\nv replace (tissue or a body part) through the formation of new tissue\nv be formed or shaped anew\nv form or produce anew\nv undergo regeneration\nv restore strength","n. 新生, 再生( regenerate的名词复数 )\nv. 新生, 再生( regenerate的第三人称单数 )",,,,,0,0,0:regenerate/1:3s,,
regenerator,ri'dʒenәreitә,"n. One who, or that which, regenerates.\nn. A device used in connection with hot-air engines,\n   gas-burning furnaces, etc., in which the incoming air or gas is heated\n   by being brought into contact with masses of iron, brick, etc., which\n   have been previously heated by the outgoing, or escaping, hot air or\n   gas.","n. 更生者, 更新者, 改革者\n[化] 交流换热炉; 交流蓄热炉; 再生炉; 再生剂",,,,,0,0,s:regenerators,,
regenerators,,"plural of regenerator\nn. One who, or that which, regenerates.\nn. A device used in connection with hot-air engines,\n   gas-burning furnaces, etc., in which the incoming air or gas is heated\n   by being brought into contact with masses of iron, brick, etc., which\n   have been previously heated by the outgoing, or escaping, hot air or\n   gas.","(regenerator 的复数) n. 更生者, 更新者, 改革者\n[化] 交流换热炉; 交流蓄热炉; 再生炉; 再生剂",,,,,0,0,0:regenerator/1:s,,
regime,rei'ʒi:m,n the organization that is the governing authority of a political unit\nn (medicine) a systematic plan for therapy (often including diet),"n. 政权, 当权期间, 政体, 社会制度, 体制, 情态\n[医] 制度, 生活制度",,3,,cet6 ky toefl ielts gre,2191,1848,s:regimes,,
region,'ri:dʒәn,n. the extended spatial location of something\nn. a large indefinite location on the surface of the Earth\nn. the approximate amount of something (usually used prepositionally as in `in the region of')\nn. a knowledge domain that you are interested in or are communicating about,"n. 区域, 地带, 地区, 领域, 范围, 区\n[计] 区, 区域",,4,1,cet4 cet6 ky ielts,713,793,s:regions,,
register,'redʒistә,n. an official written record of names or events or transactions\nn. (music) the timbre that is characteristic of a certain range and manner of production of the human voice or of different pipe organ stops or of different musical instruments\nn. a book in which names and transactions are listed\nn. (computer science) memory device that is the part of computer memory that has a specific address and that is used to hold information of a specific kind,"n. 寄存器, 记录, 登记簿, 注册\nvt. 记录, 注册, 提示, 表达, 把...挂号\nvi. 登记, 注册, 挂号\n[计] 寄存器",,3,1,gk cet4 cet6 ky toefl ielts,2430,3173,d:registered/s:registers/p:registered/i:registering/3:registers,,
registrar,'redʒistrɑ:,n. a person employed to keep a record of the owners of stocks and bonds issued by the company\nn. the administrator responsible for student records\nn. someone responsible for keeping records,"n. 记录者, 登记者, 登记官员\n[医] 登记员, 挂号员, 专科住院医师",,1,,ielts,7203,18801,s:registrars,,
reglet,'re^let,"n. A flat, narrow molding, used chiefly to separate the parts\n   or members of compartments or panels from one another, or doubled,\n   turned, and interlaced so as to form knots, frets, or other ornaments.\n   See Illust. (12) of Column.\nn. A strip of wood or metal of the height of a quadrat, used\n   for regulating the space between pages in a chase, and also for spacing\n   out title-pages and other open matter. It is graded to different sizes,\n   and designated by the name of the type that it matches; as, nonpareil\n   reglet, pica reglet, and the like.","n. 平条, 扁条, [印] (排版用)木嵌条",,,,,0,0,,,
regrate,ri'greit,"v. t. To remove the outer surface of, as of an old hewn\n   stone, so as to give it a fresh appearance.\nv. t. To offend; to shock.\nv. t. To buy in large quantities, as corn, provisions, etc.,\n   at a market or fair, with the intention of selling the same again, in\n   or near the same place, at a higher price, -- a practice which was\n   formerly treated as a public offense.",vt. 囤积,,,,,0,0,,,
regress,'ri:^res,n. the reasoning involved when you assume the conclusion is true and reason backward to the evidence\nv. go back to a statistical means\nv. get worse or fall back to a previous condition,"n. 退回, 复归权, 回归, 倒退, 退步, 退化, 退行\nvi. 退回, 复归, 回归, 倒退, 退步, 退化, 退行",,1,,gre,21815,16913,d:regressed/i:regressing/p:regressed/3:regresses/s:regresses,,
regret,ri'gret,v. feel sad about the loss or absence of\nv. decline formally or politely\nv. express with regret,"n. 遗憾, 后悔, 悔恨, 抱歉, 歉意\nvt. 为...感到遗憾, 后悔, 惋惜, 懊悔, 抱歉\nvi. 感到抱歉",,3,1,zk gk cet4 cet6 ky,3773,4595,p:regretted/s:regrets/i:regretting/d:regretted/3:regrets,,
regular,'regjulә,n. a regular patron\nn. a soldier in the regular army\nn. a dependable follower (especially in party politics)\nn. a garment size for persons of average height and weight,"a. 规则的, 常例的, 有秩序的, 整齐的, 等边的, 定期的, 经常的, 合格的, 常备军的\nn. 正规军, 正式队员\nadv. 经常地\nn. 正常体\n[计] 正常体",,4,1,gk cet4 cet6 ky toefl ielts,1276,1370,s:regulars,,
regulate,'regjuleit,"v. fix or adjust the time, amount, degree, or rate of\nv. bring into conformity with rules or principles or usage; impose regulations","vt. 管理, 控制, 调节, 调整, 校准\n[经] 控制, 管理",,2,,cet4 cet6 ky toefl ielts gre,3890,3384,d:regulated/i:regulating/3:regulates/p:regulated,,
regulator,'regjuleitә,"n. any of various controls or devices for regulating or controlling fluid flow, pressure, temperature, etc.\nn. an official responsible for control and supervision of a particular activity or area of public interest","n. 调整者, 校准者, 校准器, 调整器, 标准钟\n[化] 调节剂; 调节器",,3,,,8167,4729,s:regulators,,
rehearsal,ri'hә:sl,n. a practice session in preparation for a public performance (as of a play or speech or concert)\nn. (psychology) a form of practice; repetition of information (silently or aloud) in order to keep it in short-term memory,"n. 预演, 排演, 练习, 叙述, 复述\n[法] 详述, 列举事实, 复述",,2,,cet4 cet6 ky ielts gre,5643,5413,s:rehearsals,,
rehearse,ri'hә:s,v. engage in a rehearsal (of),"vt. 预演, 排演, 使熟练掌握, 练习, 复述\nvi. 排练, 练习, 演习",,1,,toefl gre,7588,7786,i:rehearsing/d:rehearsed/p:rehearsed/3:rehearses,,
reimburse,.ri:im'bә:s,v. pay back for some expense incurred,"vt. 付还, 偿还, 赔偿\n[经] 偿付, 赔还, 付还; 偿还",,1,,cet6 toefl ielts gre,14990,11893,d:reimbursed/3:reimburses/p:reimbursed/i:reimbursing/s:reimburses,,
rein,rein,n. one of a pair of long straps (usually connected to the bit or the headpiece) used to control a horse\nn. any means of control\nv. stop or slow up one's horse or oneself by or as if by pulling the reins\nv. stop or check by or as if by a pull at the reins,"n. 缰绳, 统治, 支配\nvt. 驾驭, 以缰绳控制, 控制\nvi. 勒住马",,2,,cet4 cet6 ky gre,6977,8629,s:reins/p:reined/d:reined/i:reining/3:reins,,
reiterate,ri:'itәreit,"v to say, state, or perform again","vt. 反复地说, 重申, 反复地做\n[法] 重述, 重申, 反覆地做",,1,,toefl gre,7665,8754,p:reiterated/d:reiterated/i:reiterating/3:reiterates,,
reject,ri'dʒekt,v. refuse to accept or acknowledge\nv. reject with contempt\nv. refuse entrance or membership,"n. 被拒之人, 被弃之物, 不合格品, 次品\nvt. 拒绝, 抵制, 否决, 驳回, 丢弃, 呕出",,4,1,gk cet4 cet6 ky toefl,1485,2029,d:rejected/p:rejected/i:rejecting/3:rejects/s:rejects,,
rejoin,ri'dʒɒin,v. join again,"vt. 使再结合, 再加入, 回答\nvi. 重新聚合, 回答, 第二次答辩",,1,,gre,8538,10185,p:rejoined/i:rejoining/d:rejoined/3:rejoins,,
rejuvenate,ri'dʒu:vineit,"v. cause (a stream or river) to erode, as by an uplift of the land\nv. develop youthful topographical features\nv. make younger or more youthful\nv. become young again","vt. 使年轻, 使复原, 使恢复精神\nvi. 返老还童, 复原",,1,,cet6 toefl gre,19775,18505,d:rejuvenated/i:rejuvenating/p:rejuvenated/3:rejuvenates,,
relapse,ri'læps,v. go back to bad behavior,"n. 回复, 故态复萌, 复发\nvi. 故态复萌, 再陷邪道, 再度堕落",,1,,toefl ielts gre,13061,15889,s:relapses/p:relapsed/i:relapsing/d:relapsed/3:relapses,,
relate,ri'leit,v. give an account of\nv. be in a relationship with\nv. have or establish a relationship to,"vt. 讲, 叙述, 使互相关联\nvi. 有关, 符合, 相处得好",,3,1,gk cet4 cet6 ky gre,747,1080,i:relating/d:related/3:relates/p:related,,
related,ri'leitid,"a. being connected either logically or causally or by shared characteristics\na. connected by kinship, common origin, or marriage","a. 讲述的, 叙述的；有关系的, 有关联的",,3,1,ielts,2726,3391,0:relate/1:dp/p:related/d:related,,
relationship,ri'leiʃәnʃip,"n. a relation between people; (`relationship' is often used where `relation' would serve, as in `the relationship between inflation and unemployment', but the preferred usage of `relationship' is for human relations or states of relatedness)\nn. a state of connectedness between people (especially an emotional connection)\nn. a state involving mutual dealings between people or parties or countries","n. 关系, 关联\n[医] 关系",,4,1,gk cet4 cet6 ky ielts,532,486,s:relationships,,
relative,'relәtiv,n. a person related by blood or marriage\nn. an animal or plant that bears a relationship to another (as related by common descent or by membership in the same genus)\na. estimated by comparison; not absolute or complete,"n. 亲戚, 关系词\na. 有关系的, 相对的, 比较的",,3,1,gk cet4 cet6 ky,2255,2428,s:relatives,,
relatively,'relәtivli,r. in a relative manner; by comparison to something else,"adv. 相对地, 比较地, 相当地, 相关地\n[计] 相对地",,,1,cet4 cet6,1237,1462,,,
relax,ri'læks,"v. become less tense, rest, or take one's ease\nv. make less taut\nv. cause to feel relaxed\nv. become less tense, less formal, or less restrained, and assume a friendlier manner","vi. 放松, 松懈, 松弛, 变从容, 休息, 休养\nvt. 使松弛, 缓和, 使松懈, 使休息",,3,1,zk gk cet4 cet6 ky toefl,2535,2861,p:relaxed/i:relaxing/d:relaxed/3:relaxes,,
relaxed,ri'lækst,a. without strain or anxiety,"a. 松懈的, 不严密的, 不严格的, 放松的, 得到休息的, 随意的, 不拘束的, 自在的",,,1,toefl,4460,6104,0:relax/1:pd/p:relaxed/d:relaxed,,
relay,'ri:lei,n. the act of passing something along from one person or group to another\nn. a crew of workers who relieve another crew\nn. a fresh team to relieve weary draft animals\nn. a race between teams; each member runs or swims part of the distance,"n. 驿马, 替班, 中继, 接力\nvt. 分程传递, 转播, 使接替\nvi. 接力传送, 转播",,2,,gk cet6 ky toefl ielts,11282,8326,d:relayed/i:relaying/p:relayed/s:relays/3:relays,,
release,ri'li:s,n. merchandise issued for sale or public showing (especially a record or film)\nn. a process that liberates or discharges something\nn. a device that when pressed will release part of a mechanism\nn. activity that frees or expresses creative energy or emotion,"n. 释放, 发泄, 豁免, 发行, 释放证书\nvt. 释放, 解除, 放松, 豁免, 免除, 发布, 放弃, 让与\nn. 发布\n[计] 版本, 发布",,5,1,cet4 cet6 ky toefl ielts gre,1232,1120,d:released/i:releasing/p:released/s:releases/3:releases,,
relevant,'relivәnt,a. having a bearing on or connection with the subject at issue,"a. 有关联的, 有关系的, 适当的, 相应的\n[法] 有关的, 相关的",,3,1,gk cet4 cet6 ky toefl ielts,1241,2814,,,
relevantly,,r. with relevance,"adv. 有关, 切题, 恰当, 中肯, 贴切, 成比例, 相关, 相应",,,,,41398,39989,,,
relic,'relik,n. an antiquity that has survived from the distant past,"n. 遗物, 遗迹, 纪念物, 遗风, 残留物",,1,,toefl gre,7657,8394,s:relics,,
relief,ri'li:f,n. the feeling that comes when something burdensome is removed or reduced\nn. the condition of being comfortable or relieved (especially after being relieved of distress)\nn. (law) redress awarded by a court\nn. assistance in time of difficulty,"n. 减轻, 解除, 救济, 安慰, 调剂, 浮雕, 换班, (地势的)起伏\n[医] 缓减, 减轻, 浮雕(绘画中)",,4,1,gk cet4 cet6 ky toefl ielts,1391,1812,s:reliefs,,
relieve,ri'li:v,"v. provide physical relief, as from pain\nv. free from a burden, evil, or distress\nv. take by stealing\nv. alleviate or remove (pressure or stress) or make less oppressive","vt. 减轻, 救济, 解除, 使免除, 换...的班, 使得到调剂, 使不单调, 衬托, 使显著\nvi. 救济, 当替补投手, 呈鲜明突出",,2,,cet4 cet6 ky toefl,4260,3764,p:relieved/d:relieved/i:relieving/3:relieves,,
relieved,ri'li:vd,"v provide physical relief, as from pain\nv free someone temporarily from his or her obligations\nv grant relief or an exemption from a rule or requirement to\nv lessen the intensity of or calm\nv save from ruin, destruction, or harm\nv relieve oneself of troubling information\nv provide relief for\nv free from a burden, evil, or distress\nv take by stealing\nv grant exemption or release to\nv alleviate or remove (pressure or stress) or make less oppressive\ns (of pain or sorrow) made easier to bear\ns extending out above or beyond a surface or boundary","a. 宽慰的, 解除的, 减轻的",,2,,toefl gre,4947,11380,0:relieve/1:pd/d:relieved/p:relieved,,
religion,ri'lidʒәn,n. a strong belief in a supernatural power or powers that control human destiny\nn. an institution to express belief in a divine power,"n. 宗教, 信仰\n[法] 宗教, 宗教信仰, 信仰",,3,1,gk cet4 cet6 ky toefl ielts gre,1819,1383,s:religions,,
religious,ri'lidʒәs,n. a member of a religious order who is bound by vows of poverty and chastity and obedience\ns. concerned with sacred matters or religion or the church\na. having or showing belief in and reverence for a deity\na. of or relating to clergy bound by monastic vows,"a. 宗教性的, 虔诚的, 宗教上的, 严谨的\nn. 修道士, 出家人",,4,1,gk cet4 cet6 ky toefl,1444,884,,,
relinquish,ri'liŋkwiʃ,"v part with a possession or right\nv do without or cease to hold or adhere to\nv turn away from; give up\nv release, as from one's grip","vt. 放弃, 撤回, 停止, 松开, 让与\n[法] 让与, 把...交给, 放弃",,1,,toefl ielts gre,8524,9453,p:relinquished/d:relinquished/i:relinquishing/3:relinquishes,,
relish,'reliʃ,n. spicy or savory condiment\nn. the taste experience when a savoury condiment is taken into the mouth,"n. 滋味, 风味, 美味, 爱好, 食欲, 调味品\nvt. 调味, 喜欢, 玩味\nvi. 有味道",,2,,ky gre,7766,8659,p:relished/i:relishing/d:relished/3:relishes/s:relishes,,
remain,ri'mein,"v. be left; of persons, questions, problems, results, evidence, etc.","vi. 保持, 逗留, 剩余\n[法] 停留, 居住, 继续",,5,1,zk gk cet4 cet6 ky,344,426,3:remains/p:remained/d:remained/i:remaining/s:remains,,
remainder,ri'meindә,n. something left after other parts have been taken away\nn. the part of the dividend that is left over when the dividend is not evenly divisible by the divisor\nn. the number that remains after subtraction; the number that when added to the subtrahend gives the minuend\nv. sell cheaply as remainders,"n. 剩余物, 其他人, 残余, 余数\nv. 削价出售(图书)\na. 剩余的, 出售削价剩书的\n[计] 余数",,2,,cet6 ky toefl gre,3955,6805,s:remainders/d:remaindered/i:remaindering/p:remaindered/3:remainders,,
remaining,,"v stay the same; remain in a certain state\nv continue in a place, position, or situation\nv be left; of persons, questions, problems, results, evidence, etc.\nv stay behind\ns not used up",[电] 剩余的,,3,1,toefl,2187,2155,0:remain/1:i/i:remaining,,
